Brand, Product_Name, Shipping_Price, Current_price 
ZTE,"ZTE Axon 10 Pro Flagship Unlocked Phone with 12G+256G Memory| Qualcomm Snapdragon 855 Chipset| Beautifully Designed Quad-Curved 6.47"" AMOLED Display / Wireless Charging -18 Months Enhanced US Warranty",Free Shipping,$599.98–
Apple,Apple - iPhone 11 Pro 64GB - Space Gray (Unlocked),Special Shipping $1,450.00(2 Offers)–
Apple,"Apple iPhone X 4G LTE Unlocked GSM Phone w/ Dual 12 MP Camera - (Used) 5.8"" Space Gray 64GB 3GB RAM",$1.99 Shipping,$639.99(3 Offers)–
ZTE,"ZTE Axon 10 Pro Flagship Unlocked Phone with 8G+256G Memory| Qualcomm Snapdragon 855 Chipset| Beautifully Designed Quad-Curved 6.47"" AMOLED Display / Wireless Charging - 18 Months Enhanced US Warranty",Free Shipping,$549.98–
Huawei,"Huawei Mate 10 Pro Unlocked Smartphone with Dual Camera (6"" Mocha Brown| 128GB Storage 6GB RAM) US Warranty",$1.99 Shipping,$499.99–
Apple,"Apple iPhone 6 4G LTE Unlocked GSM Phone w/ 8 MP Camera 4.7"" Silver 128GB 1GB RAM",$5.99 Shipping,$165.00(4 Offers)–
SAMSUNG,"Samsung Galaxy S10 4G LTE Factory Unlocked Cell Phone 6.1"" Infinity Display Prism Black 128GB 8GB RAM",Free Shipping,$857.99(3 Offers)–
Motorola,"Motorola Moto G7 4G LTE Unlocked Cell Phone 6.2"" Black 64GB 4GB RAM",Free Shipping,$299.99(5 Offers)–
Huawei,"Huawei Mate 10 Pro Unlocked Smartphone with Dual Camera (6"" Midnight Blue| 128GB Storage 6GB RAM) US Warranty",Free Shipping,$329.99–
Motorola,"Motorola XT1962-4 Moto G7 4G LTE Unlocked Cell Phone 6.2"" White 64GB 4GB RAM",$1.99 Shipping,$299.99(2 Offers)–
Google,Google Pixel XL 128GB G-2PW2100 GSM + CDMA Factory Unlocked 4G LTE 5.5'' AMOLED Display 4GB RAM 12.3MP Camera Phone - Quite Black,Special Shipping,$205.95(3 Offers)–
